city id,city,country,lat,lon,temp_civil_twilight_begin,hum_civil_twilight_begin,cloudiness_civil_twilight_begin,windiness_civil_twilight_begin
3754114,Parque das Laranjeiras,BR,-3.0647,-60.0136,72.45,100,75,2.3
608073,Taskopa,KZ,48.8536,55.5819,-4.16,92,71,1.79
2035399,Songyuan,CN,45.1171,124.8568,14.22,94,100,9.22
8014675,Santa Cruz da Graciosa,PT,39.0776,-28.0169,52.9,80,100,4.92
5522714,Hale Center,US,34.0642,-101.8438,37.04,80,1,10.36
3982837,Sonoita,MX,31.85,-112.8333,46.99,29,0,7.85
2146205,Tarrawingee,AU,-31.4667,141.4833,71.6,49,100,10.36
6454373,Sarralbe,FR,48.9987,7.0292,40.78,71,0,8.05
2020838,Lensk,RU,60.7253,114.9278,-25.78,83,86,3.51
2435014,Bogomia I,TD,7.7962,15.6682,62.35,30,63,2.59
205297,Tambo,CD,-8.3,27.25,67.8,89,100,0.51
2077026,Batchelor,AU,-13.0667,131.0167,77.0,100,100,3.69
108190,Ash Shurayf,SA,25.7071,39.2823,53.37,43,0,9.01
2119283,Zyryanka,RU,65.75,150.85,-36.09,83,15,1.32
3432707,La Eduvigis,AR,-26.8555,-59.0684,69.8,83,0,2.3
2204113,Malsa’a,FJ,-12.4833,177.0667,82.56,79,6,12.08
2157580,Mincha,AU,-36.0167,144.0833,68.0,75,85,5.26
564191,Duminichi,RU,53.9345,35.1099,16.92,97,100,3.94
1515580,Jargalant,MN,45.7095,97.176,30.51,71,1,3.13
2505525,Bechar Province,DZ,30.25,-3.0833,60.69,28,63,11.88
1159301,Zahedan,IR,29.4963,60.8629,62.6,36,75,18.41
7839558,Barcaldine,AU,-23.052,145.4349,75.88,67,0,6.06
2966208,Belmullet,IE,54.225,-9.9908,44.8,78,25,28.99
1491600,Snezhnogorsk,RU,68.0931,87.74,-27.81,84,97,2.06
3877770,Paiguano,CL,-30.0167,-70.5333,60.8,82,90,3.44
1529376,Korla,CN,41.7597,86.1469,39.49,63,100,10.47
5855051,‘Ewa Beach,US,21.3156,-158.0072,71.02,83,75,4.61
1580240,Hue,VN,16.4667,107.6,60.8,94,20,3.44
1488903,Turukhansk,RU,65.8167,87.9833,-35.43,83,98,7.47
1802682,Longchuan,CN,25.1615,101.2942,44.46,91,99,2.01
3405304,Bom Jesus,BR,-9.0744,-44.3586,71.06,94,99,2.24
2175958,Bicheno,AU,-41.8789,148.2886,59.52,92,41,2.21
3923057,Bolivia,BO,-17.0,-65.0,68.9,96,100,1.59
2120591,Tilichiki,RU,60.4667,166.1,-7.85,90,97,10.02
5289863,Cienega Springs,US,34.1886,-114.2247,49.55,32,1,5.75
6977912,Raha Tiga,ID,-4.8271,122.7229,79.23,82,100,7.47
142358,Bābolsar,IR,36.7025,52.6576,44.6,87,75,4.61
2525089,Castelluccio Inferiore,IT,40.0039,15.9809,39.99,99,0,4.63
2129163,Mombetsu,JP,44.3525,143.3525,27.0,73,97,10.0
2028164,Deputatsky,RU,69.3,139.9,-32.19,86,1,1.77
3927158,Torata,PE,-17.0769,-70.8433,56.97,54,100,0.78
2018571,Olyokminsk,RU,60.3736,120.4264,-22.36,85,98,2.46
4158060,Harbour Heights,US,26.9909,-82.0023,52.92,87,1,13.8
4269043,Caney,US,37.0115,-95.9353,40.64,81,90,25.32
3432990,Labardén,AR,-36.9475,-58.1038,50.13,83,0,3.98
4038282,Angaur State,PW,6.906,134.13,78.8,89,90,4.61
5984185,Isachsen,CA,78.7853,-103.5048,-24.47,84,100,16.13
5735237,Klamath,US,42.6665,-121.7508,29.3,86,90,2.24
2361373,Diapaga,BF,12.0708,1.7889,65.75,21,78,8.03
6177250,Wawota,CA,49.9,-102.0343,10.4,85,0,8.05
6943715,Fort Franklin,CA,65.209,-123.3633,-34.6,67,0,3.44
2260668,Bouenza Department,CG,-4.0,14.0,69.96,97,100,1.74
1649881,Batang,ID,-6.4846,110.7083,77.0,88,40,5.75
1496745,Novosibirsk Oblast,RU,55.0,80.0,-6.03,91,100,10.42
2119272,Netten Polar Station,RU,66.9667,171.9167,-21.05,84,0,5.68
2142804,Wyandra,AU,-27.25,145.9833,75.04,47,0,1.23
103331,Qārā,SA,29.8769,40.2269,44.6,70,0,10.36
1281659,Baxkorgan,CN,39.0667,90.0833,29.46,58,93,6.62
